multiprune,headstr,pluslayer,plushead,acc1
1,7.11.0.7.9.9,999,999,80.794
2,1+7.11+4.0+3.8+7.9+6.9+11,999,999,80.422
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,999,999,79.928
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,999,999,79.21
5,1+4+6+7+8.1+3+4+6+11.0+3+5+8+10.1+2+5+7+8.2+6+7+9+11.3+6+7+9+11,999,999,78.32
6,1+4+6+7+8+10.0+1+3+4+6+11.0+3+5+7+8+10.1+2+4+5+7+8.2+3+6+7+9+11.3+6+7+9+10+11,999,999,76.588
7,1+4+5+6+7+8+10.0+1+2+3+4+6+11.0+3+4+5+7+8+10.1+2+3+4+5+7+8.2+3+4+6+7+9+11.1+3+6+7+9+10+11,999,999,74.628
8,1+3+4+5+6+7+8+10.0+1+2+3+4+6+8+11.0+1+3+4+5+7+8+10.1+2+3+4+5+7+8+11.2+3+4+6+7+8+9+11.1+3+5+6+7+9+10+11,999,999,71.468
9,1+3+4+5+6+7+8+10+11.0+1+2+3+4+6+8+9+11.0+1+3+4+5+7+8+9+10.1+2+3+4+5+6+7+8+11.0+2+3+4+6+7+8+9+11.1+3+5+6+7+8+9+10+11,999,999,65.824
10,1+3+4+5+6+7+8+9+10+11.0+1+2+3+4+6+8+9+10+11.0+1+3+4+5+6+7+8+9+10.0+1+2+3+4+5+6+7+8+11.0+1+2+3+4+6+7+8+9+11.0+1+3+5+6+7+8+9+10+11,999,999,57.068
11,1+2+3+4+5+6+7+8+9+10+11.0+1+2+3+4+6+7+8+9+10+11.0+1+2+3+4+5+6+7+8+9+10.0+1+2+3+4+5+6+7+8+9+11.0+1+2+3+4+6+7+8+9+10+11.0+1+2+3+5+6+7+8+9+10+11,999,999,40.956
